"Kintamasis","Grupavimas","Tipas","Testas","P_reiksme","Stat_reiksmingas"
"Amžius","Lytis","Skaitinis","Wilcoxon",0.6681,"Ne"
"KMI","Lytis","Skaitinis","Wilcoxon",0.1001,"Ne"
"SOFA_1","Lytis","Skaitinis","Wilcoxon",0.1374,"Ne"
"SOFA_7","Lytis","Skaitinis","Wilcoxon",0.2004,"Ne"
"APACHE_II","Lytis","Skaitinis","Wilcoxon",0.2566,"Ne"
"NRS_2002","Lytis","Skaitinis","Wilcoxon",0.2533,"Ne"
"DPV_trukme_val.","Lytis","Skaitinis","Wilcoxon",0.3428,"Ne"
"CRB_max","Lytis","Skaitinis","Wilcoxon",0.086,"Ne"
"CRB_1_para","Lytis","Skaitinis","Wilcoxon",0.3208,"Ne"
"CRB_5_para","Lytis","Skaitinis","Wilcoxon",0.0709,"Ne"
"CRB_7_para","Lytis","Skaitinis","Wilcoxon",0.0519,"Ne"
"PCT_max","Lytis","Skaitinis","Wilcoxon",0.0024,"Taip"
"Laktatas_max_7","Lytis","Skaitinis","Wilcoxon",0.9043,"Ne"
"Laktatas_max","Lytis","Skaitinis","Wilcoxon",0.939,"Ne"
"Laktatas_1_para","Lytis","Skaitinis","Wilcoxon",0.0893,"Ne"
"Laktatas_5_para","Lytis","Skaitinis","Wilcoxon",0.6165,"Ne"
"Laktatas_7_para","Lytis","Skaitinis","Wilcoxon",0.0702,"Ne"
"FK_%_pokytis_1-5","Lytis","Skaitinis","Wilcoxon",0.5132,"Ne"
"FK_%_pokytis_1-7","Lytis","Skaitinis","Wilcoxon",0.7379,"Ne"
"Skeletal_muscle_mass_%_pokytis_1-5","Lytis","Skaitinis","Wilcoxon",0.5259,"Ne"
"Skeletal_muscle_mass_%_pokytis_1-7","Lytis","Skaitinis","Wilcoxon",0.3687,"Ne"
"Viskas_%_pokytis_1-5","Lytis","Skaitinis","Wilcoxon",0.303,"Ne"
"Viskas_%_pokytis_1-7","Lytis","Skaitinis","Wilcoxon",0.0574,"Ne"
"Pirmine_bakterine_infekcija","Lytis","Skaitinis","Wilcoxon",0.4191,"Ne"
"Hospitaline_infekcija","Lytis","Skaitinis","Wilcoxon",0.3759,"Ne"
"Sepsis","Lytis","Skaitinis","Wilcoxon",0.0457,"Taip"
"Hospitaline_pneumonija","Lytis","Skaitinis","Wilcoxon",0.4256,"Ne"
"Pneumonija","Lytis","Skaitinis","Wilcoxon",0.362,"Ne"
"Intraabdominaline","Lytis","Skaitinis","Wilcoxon",0.5166,"Ne"
"STI","Lytis","Skaitinis","Wilcoxon",1,"Ne"
"Kraujas","Lytis","Skaitinis","Wilcoxon",0.2885,"Ne"
"Meningitas","Lytis","Skaitinis","Wilcoxon",0.5147,"Ne"
"Minkstieji_audiniai","Lytis","Skaitinis","Wilcoxon",0.2485,"Ne"
"Zaizda","Lytis","Skaitinis","Wilcoxon",0.6554,"Ne"
"Kaulai_sanariai","Lytis","Skaitinis","Wilcoxon",NA,NA
"CVK","Lytis","Skaitinis","Wilcoxon",0.8448,"Ne"
"Kitos_infekcijos","Lytis","Skaitinis","Wilcoxon",0.721,"Ne"
"Reabilitacija","Lytis","Skaitinis","Wilcoxon",0.0814,"Ne"
"Ranka","Lytis","Kategorinis","Fisher",1,"Ne"
"Nutukimas","Lytis","Kategorinis","Chi-squared",0.4424,"Ne"
"Admission Type","Lytis","Kategorinis","Fisher",0.537,"Ne"
"DPV","Lytis","Kategorinis","Chi-squared",0.1878,"Ne"
"PCT_1_para","Lytis","Kategorinis","Fisher",NA,NA
"PCT_5_para","Lytis","Kategorinis","Fisher",NA,NA
"PCT_7_para","Lytis","Kategorinis","Fisher",NA,NA
"albuminas_min","Lytis","Kategorinis","Fisher",NA,NA
