"Kintamasis","Grupavimas","Tipas","Testas","P_reiksme","Stat_reiksmingas"
"Amžius","Nutukimas","Skaitinis","Wilcoxon",0.7677,"Ne"
"KMI","Nutukimas","Skaitinis","Wilcoxon",0,"Taip"
"SOFA_1","Nutukimas","Skaitinis","Wilcoxon",0.0057,"Taip"
"SOFA_7","Nutukimas","Skaitinis","Wilcoxon",0.6761,"Ne"
"APACHE_II","Nutukimas","Skaitinis","Wilcoxon",0.2433,"Ne"
"NRS_2002","Nutukimas","Skaitinis","Wilcoxon",0.3218,"Ne"
"DPV_trukme_val.","Nutukimas","Skaitinis","Wilcoxon",0.5038,"Ne"
"CRB_max","Nutukimas","Skaitinis","Wilcoxon",0.1955,"Ne"
"CRB_1_para","Nutukimas","Skaitinis","Wilcoxon",0.4777,"Ne"
"CRB_5_para","Nutukimas","Skaitinis","Wilcoxon",0.6725,"Ne"
"CRB_7_para","Nutukimas","Skaitinis","Wilcoxon",0.7188,"Ne"
"PCT_max","Nutukimas","Skaitinis","Wilcoxon",0.0952,"Ne"
"Laktatas_max_7","Nutukimas","Skaitinis","Wilcoxon",0.1142,"Ne"
"Laktatas_max","Nutukimas","Skaitinis","Wilcoxon",0.1005,"Ne"
"Laktatas_1_para","Nutukimas","Skaitinis","Wilcoxon",0.3246,"Ne"
"Laktatas_5_para","Nutukimas","Skaitinis","Wilcoxon",0.6592,"Ne"
"Laktatas_7_para","Nutukimas","Skaitinis","Wilcoxon",0.8571,"Ne"
"FK_%_pokytis_1-5","Nutukimas","Skaitinis","Wilcoxon",0.117,"Ne"
"FK_%_pokytis_1-7","Nutukimas","Skaitinis","Wilcoxon",0.1208,"Ne"
"Skeletal_muscle_mass_%_pokytis_1-5","Nutukimas","Skaitinis","Wilcoxon",0.2367,"Ne"
"Skeletal_muscle_mass_%_pokytis_1-7","Nutukimas","Skaitinis","Wilcoxon",0.5892,"Ne"
"Viskas_%_pokytis_1-5","Nutukimas","Skaitinis","Wilcoxon",0.1403,"Ne"
"Viskas_%_pokytis_1-7","Nutukimas","Skaitinis","t-test",0.3029,"Ne"
"Pirmine_bakterine_infekcija","Nutukimas","Skaitinis","Wilcoxon",0.3077,"Ne"
"Hospitaline_infekcija","Nutukimas","Skaitinis","Wilcoxon",0.2566,"Ne"
"Sepsis","Nutukimas","Skaitinis","Wilcoxon",0.6895,"Ne"
"Hospitaline_pneumonija","Nutukimas","Skaitinis","Wilcoxon",0.6928,"Ne"
"Pneumonija","Nutukimas","Skaitinis","Wilcoxon",0.9552,"Ne"
"Intraabdominaline","Nutukimas","Skaitinis","Wilcoxon",0.6569,"Ne"
"STI","Nutukimas","Skaitinis","Wilcoxon",0.8271,"Ne"
"Kraujas","Nutukimas","Skaitinis","Wilcoxon",0.5667,"Ne"
"Meningitas","Nutukimas","Skaitinis","Wilcoxon",0.355,"Ne"
"Minkstieji_audiniai","Nutukimas","Skaitinis","Wilcoxon",0.4937,"Ne"
"Zaizda","Nutukimas","Skaitinis","Wilcoxon",0.7109,"Ne"
"Kaulai_sanariai","Nutukimas","Skaitinis","Wilcoxon",NA,NA
"CVK","Nutukimas","Skaitinis","Wilcoxon",0.3306,"Ne"
"Kitos_infekcijos","Nutukimas","Skaitinis","Wilcoxon",0.8588,"Ne"
"Reabilitacija","Nutukimas","Skaitinis","Wilcoxon",0.8913,"Ne"
"Ranka","Nutukimas","Kategorinis","Fisher",0.0859,"Ne"
"Nutukimas","Nutukimas","Kategorinis","Fisher",0,"Taip"
"Admission Type","Nutukimas","Kategorinis","Fisher",0.9273,"Ne"
"DPV","Nutukimas","Kategorinis","Chi-squared",0.1264,"Ne"
"PCT_1_para","Nutukimas","Kategorinis","Fisher",NA,NA
"PCT_5_para","Nutukimas","Kategorinis","Fisher",NA,NA
"PCT_7_para","Nutukimas","Kategorinis","Fisher",NA,NA
"albuminas_min","Nutukimas","Kategorinis","Fisher",NA,NA
